2018-11-19 09:54:35,586 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2018-11-19 09:54:46,163 [Worker-0] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\MyGitProject\Automation_IAF\Renaissance_Automation
2018-11-19 09:54:46,174 [Worker-0] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean install
2018-12-19 10:36:03,005 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact org.apache.commons:commons-io:jar:1.3.2 has been relocated to commons-io:commons-io:jar:1.3.2
2018-12-19 10:36:06,451 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-19 10:36:06,463 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2018-12-19 10:36:06,476 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-19 10:36:06,479 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2018-12-19 10:37:47,157 [Worker-17] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2018-12-19 10:37:50,562 [Worker-17] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.iaf.test:Renaissance_Automation:0.0.1-SNAPSHOT @ D:\MyGitProject\Automation_IAF\Renaissance_Automation\pom.xml.
2018-12-19 10:37:51,047 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact org.apache.commons:commons-io:jar:1.3.2 has been relocated to commons-io:commons-io:jar:1.3.2
2018-12-19 10:37:53,565 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Renaissance_Automation/src/main/java
2018-12-19 10:37:53,566 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Renaissance_Automation/src/main/resources
2018-12-19 10:37:53,578 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Renaissance_Automation/src/test/java
2018-12-19 10:37:53,578 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Renaissance_Automation/src/test/resources
2018-12-19 10:37:54,809 [Worker-17] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 7 sec
2018-12-19 10:37:56,743 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact org.apache.commons:commons-io:jar:1.3.2 has been relocated to commons-io:commons-io:jar:1.3.2
2018-12-19 10:37:56,847 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-19 10:37:56,852 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2018-12-19 10:37:59,710 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-19 10:37:59,722 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2018-12-19 10:38:17,805 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-19 10:38:17,814 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2018-12-19 10:38:17,818 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-19 10:38:17,819 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-06 19:37:07,702 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact org.apache.commons:commons-io:jar:1.3.2 has been relocated to commons-io:commons-io:jar:1.3.2
2019-01-06 19:37:11,068 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-06 19:37:11,097 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2019-01-06 19:37:11,113 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-06 19:37:11,150 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2019-01-06 20:17:57,217 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-06 20:17:57,315 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-06 20:17:57,319 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-06 20:17:57,559 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
